# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_vangogh_s
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
weapon_ttt_smokegrenade	-1154.488892 3223.007813 28.177710	-1.908 -1.428 -1.043
weapon_ttt_smokegrenade	-1185.895752 3218.352051 28.159451	-2.578 -1.238 -1.410
weapon_ttt_smokegrenade	-1209.109375 3217.164307 28.166473	-2.320 -1.370 -1.269
weapon_ttt_smokegrenade	-3184.665771 3042.734619 -63.826355	-2.057 -1.402 -1.125
weapon_ttt_smokegrenade	-1764.928955 853.799011 128.168350	-2.252 -1.362 -1.231
weapon_ttt_smokegrenade	-2265.335449 516.154480 -63.815701	-1.667 -1.464 -0.911
weapon_ttt_smokegrenade	-2418.559326 1181.743530 -63.831654	-2.252 -1.362 -1.231
weapon_ttt_smokegrenade	-644.660706 1491.817139 -63.822289	-1.908 -1.428 -1.043
weapon_ttt_smokegrenade	-165.617233 -782.911743 -39.841621	-2.621 -1.234 -1.430
ttt_random_weapon	1647.101929 -1619.462280 1.312750	0.337 2.492 -99.430
ttt_random_weapon	1530.451050 -1619.602417 1.312456	0.289 2.515 -99.698
ttt_random_weapon	1410.452271 -1619.753296 1.312785	0.343 2.507 -99.401
ttt_random_weapon	1302.453613 -1619.890015 1.313205	0.409 2.527 -99.036
ttt_random_weapon	1075.337158 -1438.451782 1.312447	0.283 2.461 -99.736
ttt_random_weapon	1073.885864 -1380.378052 1.312519	0.302 2.550 -99.625
ttt_random_weapon	1073.339600 -1320.379883 1.312483	0.296 2.546 -99.661
ttt_random_weapon	1072.842896 -1261.443115 1.313692	0.494 2.985 -98.572
ttt_random_weapon	1072.370972 -1207.400391 1.312695	0.329 2.477 -99.475
ttt_random_weapon	1071.885864 -1150.409912 1.313261	0.418 2.531 -98.986
ttt_random_weapon	1071.447144 -1099.401245 1.312448	0.286 2.491 -99.717
ttt_random_weapon	1070.986572 -1045.407227 1.312538	0.305 2.542 -99.607
ttt_random_weapon	1070.525879 -991.411682 1.312802	0.345 2.513 -99.386
ttt_random_weapon	1001.201904 -1119.096924 1.312695	0.329 2.477 -99.475
ttt_random_weapon	634.458313 -1528.816162 -2.687544	0.289 2.516 -99.698
ttt_random_weapon	639.667542 -1472.970337 -2.687232	0.340 2.500 -99.415
ttt_random_weapon	672.665833 -1755.728882 -2.180289	10.174 3.889 -98.555
ttt_random_weapon	804.872864 -838.786926 9.312500	0.299 2.551 -99.642
ttt_random_weapon	800.480896 -813.739807 9.312676	0.326 2.476 -99.491
ttt_random_weapon	1427.406860 77.584145 -18.687443	0.308 2.531 -99.590
ttt_random_weapon	522.051514 2310.509521 -62.687233	0.340 2.500 -99.415
ttt_random_weapon	447.974823 2951.435791 25.313261	0.418 2.531 -98.986
ttt_random_weapon	654.997314 3207.144775 25.313166	0.402 2.526 -99.073
ttt_random_weapon	-721.985291 3447.232666 -4.329269	10.081 5.006 -98.888
ttt_random_weapon	-460.011871 3051.995361 -30.686989	0.378 2.513 -99.208
ttt_random_weapon	-1128.783081 3492.629395 29.312883	0.277 2.384 -99.860
ttt_random_weapon	-2910.857178 3894.783447 -70.707458	3.819 7.506 -94.684
ttt_random_weapon	-2884.142578 3895.529785 -68.498581	-1.473 0.540 -3.371
ttt_random_weapon	-2124.241699 2030.949951 -49.821255	12.509 -4.752 71.398
ttt_random_weapon	-1461.652832 1195.211670 -238.686661	0.431 2.536 -98.918
ttt_random_weapon	-645.903748 1402.635620 -62.686989	0.378 2.513 -99.208
ttt_random_weapon	-652.758545 865.019836 -62.687000	0.376 2.512 -99.220
ttt_random_weapon	-1016.884705 -91.857819 -62.686989	0.378 2.513 -99.208
ttt_random_weapon	-952.193665 -157.549698 -62.687515	0.296 2.547 -99.661
item_ammo_smg1_ttt	1178.259277 2219.922852 -63.598255	-0.169 0.005 0.102
item_ammo_smg1_ttt	1195.740723 2215.559326 -63.567406	-0.838 0.001 0.550
item_ammo_smg1_ttt	873.148071 1593.260864 -63.524059	0.559 -0.014 0.249
item_ammo_smg1_ttt	-2851.239014 2986.864990 -35.515350	-0.795 0.003 -0.643
weapon_ttt_m16	-2546.461914 2997.760742 -35.117992	1.828 5.028 84.612
weapon_ttt_m16	-2447.308594 1237.916748 -63.129864	2.044 -5.468 83.841
weapon_ttt_m16	-727.746948 1501.017456 -63.137295	2.137 -5.697 83.915
item_box_buckshot_ttt	1619.430054 1537.383545 -63.516415	-0.679 0.297 0.617
item_box_buckshot_ttt	1653.207031 1533.808472 -63.557472	-0.552 -0.007 0.490
item_box_buckshot_ttt	1670.158081 1495.025391 -63.658947	0.525 0.003 -0.415
item_box_buckshot_ttt	-1200.652588 3322.573486 32.417858	-0.747 -0.006 0.663
item_box_buckshot_ttt	-1232.340820 3327.671631 32.375397	0.672 -0.001 -0.458
item_box_buckshot_ttt	-1254.448853 3346.957275 32.400356	1.022 0.010 0.878
item_box_buckshot_ttt	-2502.530518 3890.481201 -71.614975	-0.994 -0.010 0.890
item_box_buckshot_ttt	-2544.927734 3884.865967 -71.591461	-0.819 -0.006 0.728
item_box_buckshot_ttt	-2517.506348 3862.585938 -71.622902	0.470 0.018 -0.292
item_box_buckshot_ttt	-1441.455200 1006.638733 -239.618530	-0.226 0.001 0.270
item_box_buckshot_ttt	-1440.162964 1027.025635 -239.560699	-0.578 -0.007 0.512
item_box_buckshot_ttt	-1440.235107 1065.172852 -239.528702	-1.210 0.906 0.943
item_box_buckshot_ttt	-2370.799561 524.570007 -63.600246	1.041 0.001 0.890
item_box_buckshot_ttt	-2342.077393 502.848175 -63.585995	0.882 0.008 0.760
item_box_buckshot_ttt	-2321.075439 515.492493 -63.544605	0.520 0.005 0.445
ttt_random_ammo	1642.195190 -1586.831543 0.436044	1.311 0.032 1.592
ttt_random_ammo	1595.819458 -1586.893433 0.346831	0.050 0.000 -0.017
ttt_random_ammo	1541.819458 -1586.959473 0.342309	0.048 0.000 -0.021
ttt_random_ammo	1493.818848 -1587.016357 0.382516	0.214 0.001 0.202
ttt_random_ammo	1448.815063 -1587.068970 0.443635	1.145 0.029 1.391
ttt_random_ammo	1403.813599 -1587.122070 0.442452	1.076 0.028 1.297
ttt_random_ammo	1355.818970 -1587.184937 0.380999	0.191 0.001 0.172
ttt_random_ammo	1313.819214 -1587.236572 0.377837	0.151 0.001 0.122
ttt_random_ammo	1118.013428 -963.969116 0.392108	0.633 0.005 0.715
ttt_random_ammo	1118.550415 -1022.942444 0.359544	0.063 0.000 0.006
ttt_random_ammo	1118.933594 -1067.939331 0.383967	0.243 0.001 0.238
ttt_random_ammo	1119.318604 -1112.937866 0.379423	0.172 0.001 0.148
ttt_random_ammo	1119.729614 -1160.937134 0.337641	0.047 0.000 -0.025
ttt_random_ammo	1120.063965 -1199.934570 0.330361	0.047 0.000 -0.029
ttt_random_ammo	1120.471436 -1247.931763 0.385320	0.282 0.001 0.286
ttt_random_ammo	1120.852661 -1292.927124 0.459807	0.785 0.023 0.953
ttt_random_ammo	1121.241699 -1337.929688 0.365429	0.077 0.000 0.026
ttt_random_ammo	1121.601074 -1379.927979 0.355449	0.057 0.000 -0.004
ttt_random_ammo	1121.959839 -1421.926514 0.337642	0.047 0.000 -0.025
ttt_random_ammo	874.585571 -791.914917 0.391250	0.544 0.004 0.607
ttt_random_ammo	910.475342 -790.921143 0.377831	0.152 0.001 0.123
ttt_random_ammo	635.228088 -1506.245605 -3.605304	1.077 0.014 1.257
ttt_random_ammo	639.426880 -1487.798584 -3.612373	0.362 -0.002 -0.384
ttt_random_ammo	644.758179 -1858.357788 9.317458	0.047 0.000 -0.035
ttt_random_ammo	636.055908 -1805.392334 -6.640454	0.063 0.000 0.006
ttt_random_ammo	695.388367 -1885.128906 -6.664748	0.047 0.000 -0.027
ttt_random_ammo	811.998474 -881.712769 8.330361	0.047 0.000 -0.029
ttt_random_ammo	800.231995 -566.177185 23.417643	-1.451 -0.025 1.711
ttt_random_ammo	799.409790 -628.005249 23.361532	0.067 -0.000 -0.012
ttt_random_ammo	757.074524 -322.369568 8.378324	-0.136 -0.000 0.104
ttt_random_ammo	815.603271 -308.242493 8.335252	0.047 0.000 -0.027
ttt_random_ammo	1037.361572 -353.306763 8.359545	0.063 0.000 0.006
ttt_random_ammo	1365.472046 86.071457 -19.610855	0.412 0.003 0.446
ttt_random_ammo	1345.146973 74.598320 -19.605873	0.959 0.011 1.113
ttt_random_ammo	868.304321 78.314346 -39.630836	0.091 0.000 0.045
ttt_random_ammo	564.111816 -989.095886 -47.608673	0.533 0.004 0.594
ttt_random_ammo	547.123352 -1327.174805 -47.653172	0.050 0.000 -0.017
